Specialization,Certifications,CGPA/Percentage,Skills_ID_Categorized,Recommended_Career,Education_Level_ID_Categorized,Certifications_ID_Categorized
Finance,Tally ERP,67,"Konseling, MS Office, Machine Learning",Business Analyst,Sarjana,Keuangan & ERP
Science,AWS Certified,67,"Keuangan & Akuntansi, MS Office",Software Engineer,SMA/Sederajat,Cloud bersertifikat (AWS)
Business,Mental Health Basics,90,"Analisis Data & IT, Keuangan & Akuntansi, SQL",Financial Analyst,Magister,Kesehatan Mental
Computer Science,No Certification,75,Komunikasi,Staf Administrasi,Sarjana,Tanpa Sertifikat
Business,Tally ERP,83,Analisis Data & IT,Asisten Penjualan,SMA/Sederajat,Keuangan & ERP
Arts,Tally ERP,61,Konseling,Akademisi/Dosen,SMA/Sederajat,Keuangan & ERP
Computer Science,Mental Health Basics,91,"Keuangan & Akuntansi, MS Office",Staf Administrasi,SMA/Sederajat,Kesehatan Mental
Finance,Digital Marketing,87,Konseling,Eksekutif Pemasaran,SMA/Sederajat,Pemasaran Digital
Business,CFA Level 1,78,"Keuangan & Akuntansi, Python",Akuntan Junior,SMA/Sederajat,Keuangan (CFA)
Science,CFA Level 1,75,MS Office,Staf Administrasi,SMA/Sederajat,Keuangan (CFA)
Psychology,Digital Marketing,82,Keuangan & Akuntansi,Konselor Sekolah,Doktor,Pemasaran Digital
Commerce,CFA Level 1,72,Keuangan & Akuntansi,Operator Entri Data,SMA/Sederajat,Keuangan (CFA)
Psychology,Mental Health Basics,78,"Keuangan & Akuntansi, Konseling, Python",Financial Analyst,Magister,Kesehatan Mental
Business,CFA Level 1,77,Komunikasi,Ilmuwan Peneliti,SMA/Sederajat,Keuangan (CFA)
Computer Science,Digital Marketing,95,Komunikasi,Financial Analyst,Doktor,Pemasaran Digital
Business,CFA Level 1,93,"Analisis Data & IT, Komunikasi, Konseling",Software Engineer,SMA/Sederajat,Keuangan (CFA)
Finance,No Certification,60,"Keuangan & Akuntansi, MS Office, Python",Financial Analyst,Sarjana,Tanpa Sertifikat
Science,Digital Marketing,65,"Analisis Data & IT, MS Office, SQL",Asisten Penjualan,Doktor,Pemasaran Digital
Business,Creative Writing,87,"Konseling, Pemasaran, SQL",Operator Entri Data,Sarjana,Penulisan Kreatif
Engineering,No Certification,68,Pemasaran,Staf Administrasi,Sarjana,Tanpa Sertifikat
Finance,Google Data Analytics,88,Keuangan & Akuntansi,Staf Administrasi,SMA/Sederajat,Analisis Data Google
Psychology,Creative Writing,60,"Konseling, Machine Learning",Konselor Sekolah,Doktor,Penulisan Kreatif
Engineering,Digital Marketing,73,"Keuangan & Akuntansi, Pemasaran, Python",Asisten Penjualan,Magister,Pemasaran Digital
Science,AWS Certified,92,Pemasaran,Konselor Sekolah,SMA/Sederajat,Cloud bersertifikat (AWS)
Computer Science,Creative Writing,90,"Keuangan & Akuntansi, Machine Learning, SQL",Staf Administrasi,SMA/Sederajat,Penulisan Kreatif
Finance,Mental Health Basics,62,"Komunikasi, Konseling, Machine Learning",Operator Entri Data,Doktor,Kesehatan Mental
Computer Science,Tally ERP,78,"Analisis Data & IT, Keuangan & Akuntansi",Financial Analyst,Sarjana,Keuangan & ERP
Arts,Digital Marketing,90,Keuangan & Akuntansi,Operator Entri Data,Sarjana,Pemasaran Digital
Engineering,Tally ERP,76,Python,Akuntan Junior,SMA/Sederajat,Keuangan & ERP
Engineering,Creative Writing,95,"Analisis Data & IT, Komunikasi",Staf Administrasi,Doktor,Penulisan Kreatif
Engineering,Digital Marketing,91,"Keuangan & Akuntansi, Komunikasi, Machine Learning",Asisten Penjualan,Doktor,Pemasaran Digital
Commerce,AWS Certified,80,Komunikasi,Software Engineer,Magister,Cloud bersertifikat (AWS)
Arts,Google Data Analytics,76,Pemasaran,Ilmuwan Peneliti,Magister,Analisis Data Google
Computer Science,Creative Writing,85,"Keuangan & Akuntansi, Konseling",ML Engineer,Magister,Penulisan Kreatif
Psychology,Creative Writing,63,"Keuangan & Akuntansi, Konseling, Python",Asisten Penjualan,Doktor,Penulisan Kreatif
Commerce,AWS Certified,81,"Keuangan & Akuntansi, Machine Learning, Pemasaran",Operator Entri Data,Doktor,Cloud bersertifikat (AWS)
Business,CFA Level 1,79,Keuangan & Akuntansi,Business Analyst,Doktor,Keuangan (CFA)
Finance,AWS Certified,65,Keuangan & Akuntansi,ML Engineer,SMA/Sederajat,Cloud bersertifikat (AWS)
Science,No Certification,66,"Analisis Data & IT, Keuangan & Akuntansi, SQL",Asisten Penjualan,Sarjana,Tanpa Sertifikat
Engineering,Creative Writing,80,"Komunikasi, Konseling, SQL",ML Engineer,Magister,Penulisan Kreatif
Business,Digital Marketing,68,"Konseling, Machine Learning, SQL",Software Engineer,Sarjana,Pemasaran Digital
Finance,Google Data Analytics,81,"Komunikasi, Pemasaran",Staf Administrasi,Sarjana,Analisis Data Google
Psychology,Google Data Analytics,67,Konseling,Asisten Penjualan,Sarjana,Analisis Data Google
Business,Digital Marketing,82,MS Office,ML Engineer,Magister,Pemasaran Digital
Commerce,Google Data Analytics,73,Keuangan & Akuntansi,Financial Analyst,Sarjana,Analisis Data Google
Psychology,Digital Marketing,90,"Konseling, Python",Staf Administrasi,Doktor,Pemasaran Digital
Psychology,Mental Health Basics,95,"Keuangan & Akuntansi, Konseling",Ilmuwan Peneliti,SMA/Sederajat,Kesehatan Mental
Business,Digital Marketing,70,Keuangan & Akuntansi,Asisten Penjualan,Magister,Pemasaran Digital
Finance,Google Data Analytics,61,"Komunikasi, MS Office, SQL",Asisten Penjualan,SMA/Sederajat,Analisis Data Google
Commerce,Tally ERP,60,"MS Office, Pemasaran, SQL",ML Engineer,Sarjana,Keuangan & ERP
Finance,Mental Health Basics,69,"Keuangan & Akuntansi, Machine Learning",Software Engineer,SMA/Sederajat,Kesehatan Mental
Business,CFA Level 1,65,"Analisis Data & IT, Konseling",Konselor Sekolah,Doktor,Keuangan (CFA)
Arts,Creative Writing,60,"Keuangan & Akuntansi, Komunikasi, Python",Operator Entri Data,Doktor,Penulisan Kreatif
Arts,Tally ERP,76,Keuangan & Akuntansi,Business Analyst,Doktor,Keuangan & ERP
Business,Google Data Analytics,95,"Analisis Data & IT, Keuangan & Akuntansi, Konseling",Akademisi/Dosen,Sarjana,Analisis Data Google
Finance,Tally ERP,68,"Keuangan & Akuntansi, Komunikasi, Pemasaran",Financial Analyst,Sarjana,Keuangan & ERP
Computer Science,Tally ERP,81,"Konseling, Machine Learning",Software Engineer,Doktor,Keuangan & ERP
Commerce,Digital Marketing,91,"Machine Learning, Pemasaran",Software Engineer,Doktor,Pemasaran Digital
Finance,Tally ERP,66,"Machine Learning, Pemasaran",Eksekutif Pemasaran,Magister,Keuangan & ERP
Psychology,Mental Health Basics,81,MS Office,Ilmuwan Peneliti,SMA/Sederajat,Kesehatan Mental
Business,Mental Health Basics,69,"Keuangan & Akuntansi, Konseling",ML Engineer,Doktor,Kesehatan Mental
Computer Science,Tally ERP,78,"Konseling, Pemasaran, SQL",Eksekutif Pemasaran,Magister,Keuangan & ERP
Computer Science,Tally ERP,82,"MS Office, Pemasaran, SQL",Software Engineer,Doktor,Keuangan & ERP
Finance,Mental Health Basics,90,Keuangan & Akuntansi,Akuntan Junior,Magister,Kesehatan Mental
Engineering,No Certification,79,Machine Learning,Eksekutif Pemasaran,Magister,Tanpa Sertifikat
Commerce,CFA Level 1,80,Konseling,Ilmuwan Peneliti,Sarjana,Keuangan (CFA)
Commerce,Tally ERP,77,"Konseling, Pemasaran, Python",Operator Entri Data,Magister,Keuangan & ERP
Psychology,Digital Marketing,67,"Keuangan & Akuntansi, Machine Learning, SQL",Akuntan Junior,SMA/Sederajat,Pemasaran Digital
Computer Science,CFA Level 1,90,"Konseling, MS Office",Financial Analyst,Magister,Keuangan (CFA)
Business,Digital Marketing,68,"Keuangan & Akuntansi, MS Office, Machine Learning",Akademisi/Dosen,Doktor,Pemasaran Digital
Finance,AWS Certified,79,"Konseling, Python",Akuntan Junior,Magister,Cloud bersertifikat (AWS)
Science,Mental Health Basics,94,"Komunikasi, Konseling, Pemasaran",Operator Entri Data,SMA/Sederajat,Kesehatan Mental
