jenis_kelamin,jurusan_s1,spesialisasi_s1,minat,keterampilan,judul_sertifikasi,pekerjaan_pertama,ipk_s1,profil_lengkap
Female,Sarjana Sains,Aplikasi Komputer,Cloud Computing,Java; Python; SQL,"Linux,Git",Software,3.4,Sarjana Sains | Aplikasi Komputer | Cloud Computing | Java; Python; SQL | Software
Male,Sarjana Teknik,Teknik Informatika,Teknologi,Berpikir Analitis; Berpikir Kritis; Kerja di Bawah Tekanan; Logika; Pemrograman; Problem Solving Skills; SQL,Microsoft Certification,Computer Software Engineer,2.66,Sarjana Teknik | Teknik Informatika | Technology | Berpikir Analitis; Berpikir Kritis; Kerja di Bawah Tekanan; Logika; Pemrograman; Problem Solving Skills; SQL | Computer Software Engineer
Female,Sarjana Teknik,Teknik Informatika,Teknologi,C++; HTML; Java,"C,C++,Html,Java",Analis Jaringan,2.93,Sarjana Teknik | Teknik Informatika | Technology | C++; HTML; Java | Network Analyst
Male,Sarjana Teknik,Teknik Informatika,Teknologi,Tidak Tersedia,No,Software Engineer Trainee,2.96,Sarjana Teknik | Teknik Informatika | Technology | Tidak Tersedia | Software Engineer Trainee
Male,Sarjana Teknik,Teknik Informatika,Teknologi,Berpikir Kritis; Java; Linux; Pemrograman; Python; SQL,Redhat Certification,Senior Software Engineer,2.77,Sarjana Teknik | Teknik Informatika | Technology | Berpikir Kritis; Java; Linux; Pemrograman; Python; SQL | Senior Software Engineer
Male,Sarjana Komputer,Aplikasi Komputer,Teknologi,C++; Cloud Computing; Java; Keterampilan Komunikasi; Menulis; Python; SQL,No,Tidak Tersedia,2.85,Sarjana Komputer | Aplikasi Komputer | Technology | C++; Cloud Computing; Java; Keterampilan Komunikasi; Menulis; Python; SQL | Tidak Tersedia
Male,Sarjana Teknik,Teknik Informatika,Analisis Keuangan; Penelitian; Analisis Data; Ilmuwan Data,Artificial Intelligence; Berpikir Kritis; Gathering Information; Good Communication Skills; Java; Kepemimpinan; Matlab; Pembelajaran Mesin; Pemrograman; Python; SQL,No,Tidak Tersedia,2.58,Sarjana Teknik | Teknik Informatika | Financial Analysis;Research;Data Analytics;Data Scientist | Artificial Intelligence; Berpikir Kritis; Gathering Information; Good Communication Skills; Java; Kepemimpinan; Matlab; Pembelajaran Mesin; Pemrograman; Python; SQL | Tidak Tersedia
Male,Sarjana Teknik,Teknik Informatika,Analisis Keuangan; Penelitian; Penjualan/Pemasaran; Teknologi; Analisis Data,Berpikir Analitis; Business Knowledge; Cloud Computing; Designing Skills; Hr; Pembelajaran Mesin; Problem Solving Skills; Product Knowledge; Python; Risk Management Skills; SQL,No,Tidak Tersedia,2.47,Sarjana Teknik | Teknik Informatika | Financial Analysis;Research;Sales/Marketing;Technology;Data Analytics | Berpikir Analitis; Business Knowledge; Cloud Computing; Designing Skills; Hr; Pembelajaran Mesin; Problem Solving Skills; Product Knowledge; Python; Risk Management Skills; SQL | Tidak Tersedia
Male,Sarjana Teknik,Mechanical Engineering,Teknologi; Ilmu Data; Industires; Information Technology,CAD/CAE (AutoCAD/Ansys); Cad; Cae(Autocad; Keahlian Software Teknik (STAAD/ETABS); Proe; Proeficiency In Software Like Staad Pro; Seimensnx,Ansys,Mechanical Design Engineer,2.93,Sarjana Teknik | Mechanical Engineering | Technology;All Fields Related To Data Science.;Industires;Information Technology | CAD/CAE (AutoCAD/Ansys); Cad; Cae(Autocad; Keahlian Software Teknik (STAAD/ETABS); Proe; Proeficiency In Software Like Staad Pro; Seimensnx | Mechanical Design Engineer
Male,Sarjana Teknik,Teknik Informatika,Penelitian,Berpikir Analitis; Berpikir Kritis; C++; Creativity Skills; Java; Keterampilan Interpersonal; Keterampilan Komunikasi; Keterampilan Presentasi; Logika; Microsoft Excel; Negotiation Skills; Pemrograman; Python; SQL,No,Production Manager,3.0,Sarjana Teknik | Teknik Informatika | Research | Berpikir Analitis; Berpikir Kritis; C++; Creativity Skills; Java; Keterampilan Interpersonal; Keterampilan Komunikasi; Keterampilan Presentasi; Logika; Microsoft Excel; Negotiation Skills; Pemrograman; Python; SQL | Production Manager
Male,Sarjana Teknik,Teknik Informatika,Pekerjaan Perangkat Lunak,Tidak Tersedia,No,Pengembang,3.04,Sarjana Teknik | Teknik Informatika | Software Job | Tidak Tersedia | Developer
Male,Sarjana Teknik,Teknik Informatika,Analisis Keuangan; Teknologi; Perdagangan; Analisis Data,Berpikir Analitis; Business Knowledge; Negotiation Skills; Pembelajaran Mesin; Problem Solving Skills; SQL; Visualisasi Data (Power BI/Tableau),No,Full Stack Developer,3.06,Sarjana Teknik | Teknik Informatika | Financial Analysis;Technology;Trading;Data Analytics | Berpikir Analitis; Business Knowledge; Negotiation Skills; Pembelajaran Mesin; Problem Solving Skills; SQL; Visualisasi Data (Power BI/Tableau) | Full Stack Developer
Male,Sarjana Teknik,Computer Science And Business System,Analisis Keuangan; Teknologi; Web Designing; Pengembangan Web; Social Causes,Akuntansi; Berpikir Analitis; Berpikir Kritis; Business Knowledge; C++; Finance Related Skills; Keterampilan Komunikasi; Pemrograman; Problem Solving Skills; Python; SQL,Cpp With Ds,Tidak Tersedia,3.5,Sarjana Teknik | Computer Science And Business System | Financial Analysis;Technology;Web Designing;Web Development;Social Causes | Akuntansi; Berpikir Analitis; Berpikir Kritis; Business Knowledge; C++; Finance Related Skills; Keterampilan Komunikasi; Pemrograman; Problem Solving Skills; Python; SQL | Tidak Tersedia
Female,Sarjana Teknik,Teknologi Informasi,Kewirausahaan,Gathering Informing; Kepemimpinan; Kerja Tim; Kerja di Bawah Tekanan; Keterampilan Interpersonal; Keterampilan Komunikasi; Mass Communication; Observation Skills; People Management; Risk Managing,Digital Marketing,Hr,2.62,Sarjana Teknik | Teknologi Informasi | Entrepreneurship | Gathering Informing; Kepemimpinan; Kerja Tim; Kerja di Bawah Tekanan; Keterampilan Interpersonal; Keterampilan Komunikasi; Mass Communication; Observation Skills; People Management; Risk Managing | Hr
Male,Sarjana Komputer,Aplikasi Komputer,Teknologi,Java; Kecerdasan Buatan; Ml; Python; SQL; Visualisasi Data (Power BI/Tableau),Udemy,Mahasiswa (Belum Bekerja),3.04,Sarjana Komputer | Aplikasi Komputer | Technology | Java; Kecerdasan Buatan; Ml; Python; SQL; Visualisasi Data (Power BI/Tableau) | Student (Unemployed)
Male,Sarjana Teknik,Teknik Informatika,Pekerjaan Perangkat Lunak,Full Stack; Java; Python; Reactjs,"Full Stack, Java, Python, Reactjs",Software Developer,2.96,Sarjana Teknik | Teknik Informatika | Software Job | Full Stack; Java; Python; Reactjs | Software Developer
Male,Sarjana Teknik,Mechanical Engineering,Supply Chain Analysis; Ilmuwan Data; Machine Learning; Excel,Berpikir Analitis; Mendengarkan Aktif; Negotiation Skills; Pembelajaran Mesin; Problem Solving Skills; Product Knowledge; Python; Risk Management Skills,Data Science,Production Engineer,3.53,Sarjana Teknik | Mechanical Engineering | Supply Chain Analysis;Data Scientist;Machine Learning;Excel | Berpikir Analitis; Mendengarkan Aktif; Negotiation Skills; Pembelajaran Mesin; Problem Solving Skills; Product Knowledge; Python; Risk Management Skills | Production Engineer
Male,Sarjana Teknik,Teknik Informatika,Pekerjaan Perangkat Lunak,"Android App Development; Graphic Desiging; Java Development; Web Development (Php, Codeigniter","Web Development (Php, Codeigniter), Java Development, Graphic Desiging, Android App Development",Software Engineer 1,2.93,"Sarjana Teknik | Teknik Informatika | Software Job | Android App Development; Graphic Desiging; Java Development; Web Development (Php, Codeigniter | Software Engineer 1"
Male,M.Tech,Electronics And Communication Engineering,Penelitian; Penjualan/Pemasaran; Pengajaran; Teknologi; Web Designing; Content Writing; Analisis Data; Digital Marketing; Ilmuwan Data; Pengembangan Web; Market Reserach; Social Media Marketing; Gardening; Service; Desain; Information Technology; Machine Learning; Excel,Architecture; Artificial Intelligence; Aws; Berpikir Analitis; Designing Skills; Editing (Penyuntingan); Good Communication Skills; Javascript; Kepemimpinan; Keterampilan Komunikasi; Matlab; Mengajar; Menulis; Pembelajaran Mesin; Pemrograman; Php; Problem Solving Skills; Programming Language C; Python; SQL; Sales; Social Media Marketing,Ddip,Junior Software Engineer,3.48,M.Tech | Electronics And Communication Engineering | Research;Sales/Marketing;Teaching;Technology;Web Designing;Content Writing;Data Analytics;Digital Marketing;Data Scientist;Web Development;Market Reserach;Social Media Marketing;Gardening;Service;Design;Information Technology;Machine Learning;Excel | Architecture; Artificial Intelligence; Aws; Berpikir Analitis; Designing Skills; Editing (Penyuntingan); Good Communication Skills; Javascript; Kepemimpinan; Keterampilan Komunikasi; Matlab; Mengajar; Menulis; Pembelajaran Mesin; Pemrograman; Php; Problem Solving Skills; Programming Language C; Python; SQL; Sales; Social Media Marketing | Junior Software Engineer
Female,Sarjana Teknik,Teknik Informatika,It Field,Java; Pemrograman; Problem Solving Skills; Python; SQL,No,Mapping,2.76,Sarjana Teknik | Teknik Informatika | It Field | Java; Pemrograman; Problem Solving Skills; Python; SQL | Mapping
